Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S38353161,Canada Goose,Branta canadensis,297,15,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-07-27,08:50 AM,IBA Canada (protocol),178,1,4.828,,2,FL Recently Fledged Young
S38367382,Canada Goose,Branta canadensis,297,12,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-07-28,09:00 AM,IBA Canada (protocol),28,1,.322,,2,FL Recently Fledged Young
S38400321,Canada Goose,Branta canadensis,297,12,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-07-30,11:29 AM,IBA Canada (protocol),432,1,6.437,,2
S38561401,Canada Goose,Branta canadensis,297,2,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-08-07,08:37 AM,IBA Canada (protocol),57,1,3.219,,2
S38561437,Canada Goose,Branta canadensis,297,25,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-08-08,09:05 AM,IBA Canada (protocol),98,1,3.219,,2,FL Recently Fledged Young
S37701374,Canada Goose,Branta canadensis,297,20,CA-MB,Churchill and Northern Manitoba,L5997998,Churchill--Gun Range Dunlin Plot,58.7238869,-94.0050272,2017-06-20,09:15 AM,eBird - Traveling Count,120,1,3.219,,2,NE Nest with Eggs
S37359178,Canada Goose,Branta canadensis,297,250,CA-MB,Churchill and Northern Manitoba,L553774,Churchill--Half-way Point,58.7675771,-93.8611794,2017-06-03,02:38 PM,IBA Canada (protocol),48,1,.805,,2,,"Including flyovers, conservatively"
S37433183,Canada Goose,Branta canadensis,297,50,CA-MB,Churchill and Northern Manitoba,L553774,Churchill--Half-way Point,58.7675771,-93.8611794,2017-06-06,01:46 PM,IBA Canada (protocol),65,1,3.219,,2
S37538659,Canada Goose,Branta canadensis,297,25,CA-MB,Churchill and Northern Manitoba,L553774,Churchill--Half-way Point,58.7675771,-93.8611794,2017-06-11,11:59 AM,IBA Canada (protocol),50,1,1.609,,2,NE Nest with Eggs
S37577569,Canada Goose,Branta canadensis,297,10,CA-MB,Churchill and Northern Manitoba,L553774,Churchill--Half-way Point,58.7675771,-93.8611794,2017-06-13,03:16 PM,IBA Canada (protocol),32,1,.805,,2
S37650798,Canada Goose,Branta canadensis,297,14,CA-MB,Churchill and Northern Manitoba,L553774,Churchill--Half-way Point,58.7675771,-93.8611794,2017-06-17,04:38 PM,IBA Canada (protocol),22,1,.805,,3,NE Nest with Eggs
S37839592,Canada Goose,Branta canadensis,297,6,CA-MB,Churchill and Northern Manitoba,L553774,Churchill--Half-way Point,58.7675771,-93.8611794,2017-06-27,02:45 PM,IBA Canada (protocol),35,1,1.609,,2,FL Recently Fledged Young
